Competency,Question,What to look / probing questions
Ability to grow,What has been the most formative experience in your life that has defined the achiever/leader you are today?,Challenger Mindset
Ability to grow,Tell me about a time when you weren’t satisfied with the quality your work.  How did you handle it?,
Ability to grow,What changes have you tried to implement in your area of responsibility?  What have you done to get them under way?,
Ability to grow,What have you been told as being your areas of improvement in your last performance review? What have you done since then to improve?,
Ability to grow,Tell me about a time when you needed help in your previous job. ,
Ability to grow,Tell me about a time that you realized you made a mistake? How did you correct it?,
Ability to scale,What is the most challenging issue of scale that you've had to address in your career?,"Listen for wide-views, big picture thinking and talent/capabilities mindset. Probe into people aspect, change management, how did leader show empathy/EQ.How did this leader develop him/herself and others to respond to need or grow ahead of forecasted needs. 
 => Hire and Develop, build pipeline"
Ability to scale,"What is an example of a time you had an opportunity to extend a local solution, process, etc. to a global or company-wide reach?
","What need did the process address? Did it require adaptation, how did you know? What was the result and benefit? Anything you'd do differently next time? 
 => Vision, Senses Big Opportunity, Problem Solving"
Action Orientation,Tell me about a time you got enjoyment out of working hard on something.,
Action Orientation,Give me an example of a time you had to work on a project/task that you were absolutely deading.,
Action orientation,Give me an example of something you've done in previous jobs that demonstrates your willingness to work hard.,
Action orientation,Describe a challenging project that you worked on.,
Action orientation,Give me an example of a time that you had to act with very little planning.,
Action orientation,Tell me about a time that you willingly took on more work even though you were already busy. How were you able to get everything done ?,
Action orientation,We all feel that we are unique in our accomplishments. Tell me an an accomplishment you have had that you feel is unique.,
Action orientation,"Sometimes people will drag their feet in taking action on something, losing precious time. Tell me about a time you saw that other people in the organization were not acting quickly on something and took it upon yourself to lead the effort.",
Adaptability,Describe the most difficult career transition you've made to date (from one company to another or one job to the next in the same company).,"What made it difficult?What steps did you take to adapt?What were the results and what would you do differently next time around? Watch for signs of self awareness, emotional intelligence, and intellectual curiousity. 
 => Dealing with Ambiguity"
Adaptability,What types of bosses have been the most difficult for you? How did you manage the situation?,
Adaptability,Have you ever had to meet deadlines while being constantly interrupted? How did you cope?,
Adaptability,Tell me about a situation in which you had to adjust quickly to changes in the organization or your department? What did you do?,
